goid	go_term	go_aspect	go_definition
GO:0009337	sulfite reductase complex (NADPH)	C	A multisubunit iron flavoprotein, which in yeast is composed of 2 alpha and 2 beta subunits. Catalyzes the reduction of sulfite to sulfide.
GO:0009353	mitochondrial oxoglutarate dehydrogenase complex	C	A complex of multiple copies of three enzymatic components: oxoglutarate dehydrogenase (lipoamide); EC:1.2.4.2 (E1), dihydrolipoamide S-succinyltransferase; EC:2.3.1.61 (E2) and dihydrolipoamide dehydrogenase; EC:1.8.1.4 (E3); catalyzes the overall conversion of 2-oxoglutarate to succinyl-CoA and carbon dioxide (CO2) within the mitochondrial matrix. An example of this complex is found in Mus musculus.
GO:0009408	response to heat	P	Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a heat stimulus, a temperature stimulus above the optimal temperature for that organism.
GO:0009451	RNA modification	P	The covalent alteration of one or more nucleotides within an RNA molecule to produce an RNA molecule with a sequence that differs from that coded genetically.
GO:0010324	membrane invagination	P	The infolding of a membrane, resulting in formation of a vesicle.
GO:0010494	cytoplasmic stress granule	C	A dense aggregation in the cytosol composed of proteins and RNAs that appear when the cell is under stress.
GO:0012505	endomembrane system	C	A collection of membranous structures involved in transport within the cell. The main components of the endomembrane system are endoplasmic reticulum, Golgi bodies, vesicles, cell membrane and nuclear envelope. Members of the endomembrane system pass materials through each other or though the use of vesicles.
GO:0015931	nucleobase-containing compound transport	P	The directed movement of nucleobases, nucleosides, nucleotides and nucleic acids, into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore.
GO:0015934	large ribosomal subunit	C	The larger of the two subunits of a ribosome. Two sites on the ribosomal large subunit are involved in translation, namely the aminoacyl site (A site) and peptidyl site (P site).
GO:0016020	membrane	C	Double layer of lipid molecules that encloses all cells, and, in eukaryotes, many organelles; may be a single or double lipid bilayer; also includes associated proteins.
GO:0016023	cytoplasmic membrane-bounded vesicle	C	A membrane-bounded vesicle found in the cytoplasm of the cell.
GO:0016035	zeta DNA polymerase complex	C	A heterodimeric DNA polymerase complex that catalyzes error-prone DNA synthesis in contexts such as translesion synthesis and double-stranded break repair. First characterized in Saccharomyces, in which the subunits are Rev3p and Rev7p; a third protein, Rev1p, is often associated with the polymerase dimer.
GO:0016050	vesicle organization	P	A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of a vesicle.
GO:0016197	endosomal transport	P	The directed movement of substances into, out of or mediated by an endosome, a membrane-bounded organelle that carries materials newly ingested by endocytosis. It passes many of the materials to lysosomes for degradation.
GO:0016272	prefoldin complex	C	A multisubunit chaperone that is capable of delivering unfolded proteins to cytosolic chaperonin, which it acts as a cofactor for. In humans, the complex is a heterohexamer of two PFD-alpha and four PFD-beta type subunits. In Saccharomyces cerevisiae, it also acts in the nucleus to regulate the rate of elongation by RNA polymerase II via a direct effect on histone dynamics.
GO:0016281	eukaryotic translation initiation factor 4F complex	C	The eukaryotic translation initiation factor 4F complex is composed of eIF4E, eIF4A and eIF4G; it is involved in the recognition of the mRNA cap, ATP-dependent unwinding of the 5'-terminal secondary structure and recruitment of the mRNA to the ribosome.
GO:0016282	eukaryotic 43S preinitiation complex	C	A protein complex composed of the 40S ribosomal subunit plus eIF1A, eIF3, and eIF2-GTP-bound methionyl-initiator methionine tRNA.
GO:0016301	kinase activity	F	Catalysis of the transfer of a phosphate group, usually from ATP, to a substrate molecule.
GO:0016460	myosin II complex	C	A myosin complex containing two class II myosin heavy chains, two myosin essential light chains and two myosin regulatory light chains. Also known as classical myosin or conventional myosin, the myosin II class includes the major muscle myosin of vertebrate and invertebrate muscle, and is characterized by alpha-helical coiled coil tails that self assemble to form a variety of filament structures.
GO:0016491	oxidoreductase activity	F	Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced.
GO:0016514	SWI/SNF complex	C	A SWI/SNF-type complex that contains nine or more proteins, including both conserved (core) and nonconserved components; the Swi2/Snf2 ATPase is one of the core components.
GO:0016570	histone modification	P	The covalent alteration of one or more amino acid residues within a histone protein.
GO:0016586	RSC complex	C	A protein complex similar to, but more abundant than, the Swi/Snf complex. The RSC complex is generally recruited to RNA polymerase III promoters and is specifically recruited to RNA polymerase II promoters by transcriptional activators and repressors; it is also involved in non-homologous end joining.
GO:0016587	Isw1 complex	C	A protein complex that contains an Isw1 subunit from the ISWI-family of ATPases and acts to modify chromatin structure.
GO:0016591	DNA-directed RNA polymerase II, holoenzyme	C	Large protein complex composed of the RNA polymerase core complex and a variety of other proteins including transcription factor complexes TFIIA, D, E, F, and H which are required for promoter recognition, and the Mediator subcomplex. Catalyzes the synthesis of eukaryotic pre-mRNA.
GO:0016592	mediator complex	C	A protein complex that interacts with the carboxy-terminal domain of the largest subunit of RNA polymerase II and plays an active role in transducing the signal from a transcription factor to the transcriptional machinery. The mediator complex is required for activation of transcription of most protein-coding genes, but can also act as a transcriptional corepressor. The Saccharomyces complex contains several identifiable subcomplexes: a head domain comprising Srb2, -4, and -5, Med6, -8, and -11, and Rox3 proteins; a middle domain comprising Med1, -4, and -7, Nut1 and -2, Cse2, Rgr1, Soh1, and Srb7 proteins; a tail consisting of Gal11p, Med2p, Pgd1p, and Sin4p; and a regulatory subcomplex comprising Ssn2, -3, and -8, and Srb8 proteins. Metazoan mediator complexes have similar modular structures and include homologs of yeast Srb and Med proteins.
GO:0016593	Cdc73/Paf1 complex	C	A multiprotein complex that associates with RNA polymerase II and general RNA polymerase II transcription factor complexes and may be involved in both transcriptional initiation and elongation. In Saccharomyces the complex contains Paf1p, Cdc73p, Ctr9p, Rtf1p, and Leo1p.
GO:0016602	CCAAT-binding factor complex	C	A heteromeric transcription factor complex that binds to the CCAAT-box upstream of promoters; in Saccharomyces it activates the transcription of genes in response to growth in a nonfermentable carbon source; consists of four known subunits: HAP2, HAP3, HAP4 and HAP5.
GO:0016740	transferase activity	F	Catalysis of the transfer of a group, e.g. a methyl group, glycosyl group, acyl group, phosphorus-containing, or other groups, from one compound (generally regarded as the donor) to another compound (generally regarded as the acceptor). Transferase is the systematic name for any enzyme of EC class 2.
GO:0016757	transferase activity, transferring glycosyl groups	F	Catalysis of the transfer of a glycosyl group from one compound (donor) to another (acceptor).
GO:0016779	nucleotidyltransferase activity	F	Catalysis of the transfer of a nucleotidyl group to a reactant.
GO:0016787	hydrolase activity	F	Catalysis of the hydrolysis of various bonds, e.g. C-O, C-N, C-C, phosphoric anhydride bonds, etc. Hydrolase is the systematic name for any enzyme of EC class 3.
GO:0016791	phosphatase activity	F	Catalysis of the hydrolysis of phosphoric monoesters, releasing inorganic phosphate.
GO:0016798	hydrolase activity, acting on glycosyl bonds	F	Catalysis of the hydrolysis of any glycosyl bond.
GO:0016829	lyase activity	F	Catalysis of the cleavage of C-C, C-O, C-N and other bonds by other means than by hydrolysis or oxidation, or conversely adding a group to a double bond. They differ from other enzymes in that two substrates are involved in one reaction direction, but only one in the other direction. When acting on the single substrate, a molecule is eliminated and this generates either a new double bond or a new ring.
GO:0016853	isomerase activity	F	Catalysis of the geometric or structural changes within one molecule. Isomerase is the systematic name for any enzyme of EC class 5.
GO:0016874	ligase activity	F	Catalysis of the joining of two substances, or two groups within a single molecule, with the concomitant hydrolysis of the diphosphate bond in ATP or a similar triphosphate.
GO:0016887	ATPase activity	F	Catalysis of the reaction: ATP + H2O = ADP + phosphate + 2 H+. May or may not be coupled to another reaction.
GO:0017053	transcriptional repressor complex	C	A protein complex that possesses activity that prevents or downregulates transcription.
GO:0017054	negative cofactor 2 complex	C	A heterodimeric protein complex that can stably associate with TATA-binding protein on promoters, thereby preventing the assembly of transcription factors TFIIA and TFIIB and leading to repression of RNA polymerase II transcription. The two subunits, NC2alpha (Drap1) and NC2beta (Dr1), dimerize through histone fold domains of the H2A/H2B type present in the amino termini.
GO:0017059	serine C-palmitoyltransferase complex	C	An enzyme complex that catalyzes the transfer of a palmitoyl on to serine, forming 3-dehydro-D-sphinganine.
GO:0017087	mitochondrial processing peptidase complex	C	A protein complex that consists of a catalytic alpha subunit (alpha-MPP) and a regulatory beta subunit (beta-MPP), and catalyzes the release of N-terminal targeting peptides from precursor proteins imported into the mitochondrion.
GO:0017102	methionyl glutamyl tRNA synthetase complex	C	A complex consisting of methionyl- and glutamyl-tRNA synthetases. The tRNA synthetases present in the complex bind to their cognate tRNAs more efficiently than they do as monomers.
GO:0017119	Golgi transport complex	C	A complex of proteins that, in vitro, stimulates intra-Golgi transport; a 13S complex, about 800 kDa in size and consists of at least five polypeptides. In yeast, this complex is called the Sec34/35 complex and is composed of eight subunits (Sec34p, Sec35p, Dor1p, Cod1p, Cod2p, Cod3p, Cod4p, and Cod5p).
GO:0017177	glucosidase II complex	C	A heterodimeric complex that catalyzes the trimming of glucose residues from N-linked core glycans on newly synthesized glycoproteins.
GO:0018193	peptidyl-amino acid modification	P	The alteration of an amino acid residue in a peptide.
GO:0018444	translation release factor complex	C	A heterodimeric complex involved in the release of a nascent polypeptide chain from a ribosome.
GO:0019005	SCF ubiquitin ligase complex	C	A ubiquitin ligase complex in which a cullin from the Cul1 subfamily and a RING domain protein form the catalytic core; substrate specificity is conferred by a Skp1 adaptor and an F-box protein. SCF complexes are involved in targeting proteins for degradation by the proteasome. The best characterized complexes are those from yeast and mammals (with core subunits named Cdc53/Cul1, Rbx1/Hrt1/Roc1).
GO:0019773	proteasome core complex, alpha-subunit complex	C	The proteasome core subcomplex that constitutes the two outer rings of the proteasome core complex. An example of this component is found in Mus musculus.
GO:0019774	proteasome core complex, beta-subunit complex	C	The proteasome core subcomplex that constitutes the two inner rings of the proteasome core complex. An example of this component is found in Mus musculus.
GO:0019843	rRNA binding	F	Interacting selectively and non-covalently with ribosomal RNA.
GO:0019899	enzyme binding	F	Interacting selectively and non-covalently with any enzyme.
GO:0022625	cytosolic large ribosomal subunit	C	The large subunit of a ribosome located in the cytosol.
GO:0022626	cytosolic ribosome	C	A ribosome located in the cytosol.
GO:0022627	cytosolic small ribosomal subunit	C	The small subunit of a ribosome located in the cytosol.
GO:0022857	transmembrane transporter activity	F	Enables the transfer of a substance from one side of a membrane to the other.
GO:0023052	signaling	P	The entirety of a process in which information is transmitted within a biological system. This process begins with an active signal and ends when a cellular response has been triggered.
GO:0030008	TRAPP complex	C	A large complex that acts as a tethering factor involved in transporting vesicles from the ER through the Golgi to the plasma membrane. A TRAPP (transport protein particle) complex has a core set of proteins which are joined by specific subunits depending on the cellular component where a given TRAPP complex is active.
GO:0030014	CCR4-NOT complex	C	The evolutionarily conserved CCR4-NOT complex is involved in several aspects of mRNA metabolism, including repression and activation of mRNA initiation, control of mRNA elongation, and the deadenylation and subsequent degradation of mRNA. In Saccharomyces the CCR4-NOT complex comprises a core complex of 9 proteins (Ccr4p, Caf1p, Caf40p, Caf130p, Not1p, Not2p, Not3p, Not4p, and Not5p), Caf4p, Caf16p, and several less well characterized proteins.
GO:0030015	CCR4-NOT core complex	C	The core of the CCR4-NOT complex. In Saccharomyces the CCR4-NOT core complex comprises Ccr4p, Caf1p, Caf40p, Caf130p, Not1p, Not2p, Not3p, Not4p, and Not5p.
GO:0030120	vesicle coat	C	A membrane coat found on a coated vesicle.
GO:0030121	AP-1 adaptor complex	C	A heterotetrameric AP-type membrane coat adaptor complex that consists of beta1, gamma, mu1 and sigma1 subunits and links clathrin to the membrane surface of a vesicle; vesicles with AP-1-containing coats are normally found primarily in the trans-Golgi network. In at least humans, the AP-1 complex can be heterogeneric due to the existence of multiple subunit isoforms encoded by different genes (gamma1 and gamma2, mu1A and mu1B, and sigma1A, sigma1B and sigma1C).
GO:0030122	AP-2 adaptor complex	C	A heterotetrameric AP-type membrane coat adaptor complex that consists of alpha, beta2, mu2 and sigma2 subunits, and links clathrin to the membrane surface of a vesicle; vesicles with AP-2-containing coats are normally found primarily near the plasma membrane, on endocytic vesicles. In at least humans, the AP-2 complex can be heterogeneric due to the existence of multiple subunit isoforms encoded by different alpha genes (alphaA and alphaC).
GO:0030123	AP-3 adaptor complex	C	A heterotetrameric AP-type membrane coat adaptor complex that consists of beta3, delta, mu3 and sigma3 subunits and is found associated with endosomal membranes. AP-3 does not appear to associate with clathrin in all organisms. In at least humans, the AP-3 complex can be heterogeneric due to the existence of multiple subunit isoforms encoded by different genes (beta3A and beta3B, mu3A and mu3B, and sigma3A and sigma3B).
GO:0030125	clathrin vesicle coat	C	A clathrin coat found on a vesicle.
GO:0030126	COPI vesicle coat	C	One of two multimeric complexes that forms a membrane vesicle coat. The mammalian COPI subunits are called alpha-, beta-, beta'-, gamma-, delta-, epsilon- and zeta-COP. Vesicles with COPI coats are found associated with Golgi membranes at steady state.
GO:0030127	COPII vesicle coat	C	One of two multimeric complexes that forms a membrane vesicle coat. COPII is best characterized in S. cerevisiae, where the subunits are called Sar1p, Sec13p, Sec31p, Sec23p, and Sec24p. Vesicles with COPII coats are found associated with endoplasmic reticulum (ER) membranes at steady state.
GO:0030234	enzyme regulator activity	F	Binds to and modulates the activity of an enzyme.
GO:0030289	protein phosphatase 4 complex	C	The complex formed by the catalytic subunit of protein phosphatase 4 plus a regulatory subunit.
GO:0030427	site of polarized growth	C	Any part of a cell where non-isotropic growth takes place.
GO:0030529	ribonucleoprotein complex	C	A macromolecular complex containing both protein and RNA molecules.
GO:0030532	small nuclear ribonucleoprotein complex	C	A complex composed of RNA of the small nuclear RNA (snRNA) class and protein, found in the nucleus of a eukaryotic cell. These are typically named after the snRNA(s) they contain, e.g. U1 snRNP or U4/U6 snRNP. Many, but not all, of these complexes are involved in splicing of nuclear mRNAs.
GO:0030674	protein binding, bridging	F	The binding activity of a molecule that brings together two or more protein molecules, or a protein and another macromolecule or complex, through a selective, non-covalent, often stoichiometric interaction, permitting those molecules to function in a coordinated way.
GO:0030678	mitochondrial ribonuclease P complex	C	A ribonuclease P complex located in the mitochondrion of a eukaryotic cell, where it catalyzes the 5' endonucleolytic cleavage of precursor tRNAs to yield mature tRNAs. The subunit composition of mitochondrial ribonuclease P complexes varies between species, but the complex often contains a single RNA molecule and a single protein molecule.
GO:0030684	preribosome	C	Any complex of pre-rRNAs, ribosomal proteins, and associated proteins formed during ribosome biogenesis.
GO:0030686	90S preribosome	C	A large ribonucleoprotein complex considered to be the earliest preribosomal complex. In S. cerevisiae, it has a size of 90S and consists of the 35S pre-rRNA, early-associating ribosomal proteins most of which are part of the small ribosomal subunit, the U3 snoRNA and associated proteins.
GO:0030687	preribosome, large subunit precursor	C	A preribosomal complex consisting of 27SA, 27SB, and/or 7S pre-rRNA, 5S rRNA, ribosomal proteins including late-associating large subunit proteins, and associated proteins; a precursor of the eukaryotic cytoplasmic large ribosomal subunit.
GO:0030688	preribosome, small subunit precursor	C	A preribosomal complex consisting of 20S pre-rRNA, ribosomal proteins including late-associating small subunit proteins, and associated proteins; a precursor of the eukaryotic cytoplasmic small ribosomal subunit.
GO:0030690	Noc1p-Noc2p complex	C	A heterodimer associated with 90S and 66S preribosomes. Predominantly, but not exclusively, nucleolar; involved in ribosomal large subunit biogenesis.
GO:0030691	Noc2p-Noc3p complex	C	A heterodimer associated with 66S preribosomes; predominantly nucleoplasmic, but also locates to the nucleolus; involved in ribosomal large subunit biogenesis.
GO:0030692	Noc4p-Nop14p complex	C	A heterodimer associated with precursors of the eukaryotic small ribosomal subunit, including the 90S preribosome; involved in small subunit biogenesis.
GO:0030869	RENT complex	C	A protein complex that mediates transcriptional silencing at the rDNA locus (the name derives from regulator of nucleolar silencing and telophase). In Saccharomyces the complex contains Net1p, Sir2p, Cdc14p, and at least one more subunit.
GO:0030870	Mre11 complex	C	Trimeric protein complex that possesses endonuclease activity; involved in meiotic recombination, DNA repair and checkpoint signaling. In Saccharomyces cerevisiae, the complex comprises Mre11p, Rad50p, and Xrs2p; complexes identified in other species generally contain proteins orthologous to the Saccharomyces cerevisiae proteins.
GO:0030896	checkpoint clamp complex	C	Conserved heterotrimeric complex of PCNA-like proteins that is loaded onto DNA at sites of DNA damage.
GO:0030897	HOPS complex	C	A multimeric protein complex that associates with the vacuolar membrane, late endosomal (multivesicular body) and lysosomal membranes. HOPS is a tethering complex involved in vesicle fusion.
GO:0030904	retromer complex	C	A conserved multimeric membrane-associated complex involved in retrograde transport from endosomes to the Golgi apparatus. For example, the budding yeast retromer comprises Vps35p, Vps29p, Vps26p, Vps5p, and Vps17p.
GO:0030905	retromer complex, outer shell	C	One of two subcomplexes that combine to form the retromer, believed to be peripherally associated with the membrane. The budding yeast complex comprises Vps5p and Vps17p, and may contain multiple copies of a Vps5p/Vps17p dimer.
GO:0030906	retromer complex, inner shell	C	One of two subcomplexes that combine to form the retromer, believed to be closely associated with the membrane. In budding yeast the complex comprises Vps35p, Vps29p, and Vps26p.
GO:0030907	MBF transcription complex	C	A protein complex that binds to the Mlu1 cell cycle box (MCB) promoter element, consensus sequence ACGCGN, and is involved in regulation of transcription during the G1/S transition of the cell cycle. In Saccharomyces, the complex contains a heterodimer of the DNA binding protein Mbp1p and the activator Swi4p, and is associated with additional proteins known as Nrm1p, Msa1p, and Msa2p; in Schizosaccharomyces the complex contains Res1p, Res2p, and Cdc10p.
GO:0030915	Smc5-Smc6 complex	C	A conserved complex that contains a heterodimer of SMC proteins (Smc5p and Smc6p, or homologs thereof) and several other proteins, and is involved in DNA repair and maintaining cell cycle arrest following DNA damage. In S. cerevisiae, this is an octameric complex called Mms21-Smc5-Smc6 complex, with at least five of its subunits conserved in fission yeast and humans.
GO:0030956	glutamyl-tRNA(Gln) amidotransferase complex	C	A protein complex that possesses glutamyl-tRNA(Gln) amidotransferase activity, and therefore creates Gln-tRNA by amidating Glu-tRNA; usually composed of 3 subunits: A, B, and C. Note that the C subunit may not be required in all organisms.
GO:0031011	Ino80 complex	C	A multisubunit protein complex that contains the Ino80p ATPase; exhibits chromatin remodeling activity and 3' to 5' DNA helicase activity.
GO:0031080	nuclear pore outer ring	C	A subcomplex of the nuclear pore complex (NPC) that forms the outer rings of the core scaffold, a lattice-like structure that gives the NPC its shape and strength. In S. cerevisiae, the two outer rings each contain multiple copies of the following proteins: Nup133p, Nup120p, Nup145Cp, Nup85p, Nup84p, Seh1p, and Sec13p. In vertebrates, the two outer rings each contain multiple copies of the following proteins: Nup133, Nup160, Nup96, Nup75, Nup107, Seh1, Sec13, Nup43, Nup37, and ALADIN. Components are arranged in 8-fold symmetrical 'spokes' around the central transport channel. A single 'spoke', can be isolated and is sometimes referred to as the Nup84 complex (S. cerevisiae) or the Nup107-160 complex (vertebrates).
GO:0031083	BLOC-1 complex	C	A protein complex required for the biogenesis of specialized organelles of the endosomal-lysosomal system, such as melanosomes and platelet dense granules. Many of the protein subunits are conserved between mouse and human; the mouse complex contains the Pallidin, Muted, Cappuccino, Dysbindin, Snapin, BLOS1, BLOS2, AND BLOS3 proteins.
GO:0031105	septin complex	C	A protein complex containing septins. Typically, these complexes contain multiple septins and are oligomeric.
GO:0031201	SNARE complex	C	A protein complex involved in membrane fusion; a stable ternary complex consisting of a four-helix bundle, usually formed from one R-SNARE and three Q-SNAREs with an ionic layer sandwiched between hydrophobic layers. One well-characterized example is the neuronal SNARE complex formed of synaptobrevin 2, syntaxin 1a, and SNAP-25.
GO:0031207	Sec62/Sec63 complex	C	A protein complex involved in the posttranslational targeting of proteins to the ER. In yeast, it is a tetrameric complex consisting of Sec62p, Sec63p, Sec71p and Sec72p.
GO:0031211	endoplasmic reticulum palmitoyltransferase complex	C	A dimeric complex of the endoplasmic reticulum that catalyzes S-palmitoylation, the addition of palmitate (C16:0) or other long-chain fatty acids to proteins at a cysteine residue.
GO:0031251	PAN complex	C	A complex that possesses poly(A)-specific ribonuclease activity; catalyzes the message-specific shortening of mRNA poly(A) tails. Contains at least two subunits, known as Pan2p and Pan3p in Saccharomyces.
GO:0031261	DNA replication preinitiation complex	C	A protein-DNA complex assembled at eukaryotic DNA replication origins immediately prior to the initiation of DNA replication. The preinitiation complex is formed by the assembly of additional proteins onto an existing prereplicative complex. In budding yeast, the additional proteins include Cdc45p, Sld2p, Sld3p, Dpb11p, DNA polymerases, and others; in fission yeast the GINS complex is present.
GO:0031262	Ndc80 complex	C	A protein complex conserved among eukaryotes that forms part of the kinetochore and plays an essential role in forming stable kinetochore-microtubule attachments. The complex contains proteins known in several species, including budding and fission yeasts, as Ndc80p, Nuf2p, Spc24p, and Spc25p. In vertebrates it is part of the outer plate of the kinetochore.
GO:0031298	replication fork protection complex	C	A protein complex conserved in eukaryotes and associated with the replication fork; the complex stabilizes stalled replication forks and is thought to be involved in coordinating leading- and lagging-strand synthesis and in replication checkpoint signaling.
GO:0031371	ubiquitin conjugating enzyme complex	C	Any complex that possesses ubiquitin conjugating enzyme activity.
GO:0031389	Rad17 RFC-like complex	C	A pentameric protein complex related to replication factor C, which loads a trimeric complex of checkpoint proteins (known as the checkpoint clamp or 9-1-1 complex) onto DNA at damage sites; functions in DNA damage cell cycle checkpoints. In Schizosaccharomyces pombe the subunits are known as Rad17, Rfc2, Rfc3, Rfc4, and Rfc5, while in Saccharomyces cerevisiae the subunits are known as Rad24p, Rfc2p, Rfc3p, Rfc4p, and Rfc5p.
GO:0031390	Ctf18 RFC-like complex	C	A heptameric complex related to replication factor C, which loads the DNA polymerase processivity factor proliferating cell nuclear antigen (PCNA) onto DNA and plays a vital role in chromosome cohesion. In Saccharomyces the subunits are known as Ctf18p, Rfc2p, Rfc3p, Rfc4p, Rfc5p, Dcc1p, and Ctf8p.
GO:0031391	Elg1 RFC-like complex	C	A pentameric complex related to replication factor C, which loads the DNA polymerase processivity factor proliferating cell nuclear antigen (PCNA) onto DNA and has roles in telomere length regulation and other aspects of genome stability. In Saccharomyces the subunits are known as Elg1p, Rfc2p, Rfc3p, Rfc4p, and Rfc5p.
GO:0031399	regulation of protein modification process	P	Any process that modulates the frequency, rate or extent of the covalent alteration of one or more amino acid residues within a protein.
GO:0031415	NatA complex	C	A conserved complex that catalyzes the transfer of an acetyl group to an N-terminal Ser, Ala, Gly, or Thr residue of a protein acceptor molecule. In Saccharomyces the complex includes Nat1p and Ard1p, and may contain additional proteins.
GO:0031416	NatB complex	C	A conserved complex that catalyzes the transfer of an acetyl group to the N-terminal residue of a protein acceptor molecule that has a Met-Glu, Met-Asp, Met-Asn, or Met-Met N-terminus. In Saccharomyces the complex includes Nat3p and Mdm20p.
GO:0031417	NatC complex	C	A conserved complex that catalyzes the transfer of an acetyl group to the N-terminal residue of a protein acceptor molecule that has a Met-Ile, Met-Leu, Met-Trp, or Met-Phe N-terminus. In Saccharomyces the complex includes Mak3p, Mak10p, and Mak31p.
GO:0031422	RecQ helicase-Topo III complex	C	A complex containing a RecQ family helicase and a topoisomerase III homologue; may also include one or more additional proteins; conserved from E. coli to human.
GO:0031428	box C/D snoRNP complex	C	A ribonucleoprotein complex containing small nucleolar RNA of the box C/D type that can carry out ribose-2'-O-methylation of target RNAs.
GO:0031429	box H/ACA snoRNP complex	C	A box H/ACA RNP complex that is located in the nucleolus.
GO:0031431	Dbf4-dependent protein kinase complex	C	A heterodimeric protein complex required for the activation of DNA replication origins; comprises a catalytic subunit and a regulatory subunit (in Saccharomyces, Cdc7p and Dbf4p, respectively); complexes identified in other species generally contain proteins related to the Saccharomyces proteins.
GO:0031463	Cul3-RING ubiquitin ligase complex	C	A ubiquitin ligase complex in which a cullin from the Cul3 subfamily and a RING domain protein form the catalytic core; substrate specificity is conferred by a BTB-domain-containing protein.
GO:0031475	myosin V complex	C	A myosin complex containing a dimer of class V myosin heavy chains and associated light chains; involved in intracellular transport. Myosin V is a dimeric molecule consisting of conserved motor domains followed by 6 IQ motifs which bind specific light chains and calmodulin. The tail domain is important for cellular localization and cargo binding and can be divided into an alpha-helical coiled coil region and a C-terminal globular region.
GO:0031499	TRAMP complex	C	A multiprotein complex having distributive polyadenylation activity of a variety of RNA substrates including hypomodified and incorrectly folded tRNAs, pre-snRNAs, pre-snoRNAs, incorrectly spliced or processed pre-mRNAs, cryptic unstable transcripts (CUTs), pre-rRNAs and rRNA fragments released as part of rRNA processing. In S. cerevisiae, the complex consists of either Pap2 (also known as Trf4) or Trf5, Air1 or Air2, and Mtr4, and is involved in RNA 3'-end processing and in RNA surveillance and quality control.
GO:0031501	mannosyltransferase complex	C	A complex that posseses mannosyltransferase activity.
GO:0031502	dolichyl-phosphate-mannose-protein mannosyltransferase complex	C	A complex that possesses dolichyl-phosphate-mannose-protein mannosyltransferase activity; usually includes members of the PMT1 and PMT2 protein subfamilies.
GO:0031510	SUMO activating enzyme complex	C	A conserved heterodimeric complex with SUMO activating enzyme activity.
GO:0031515	tRNA (m1A) methyltransferase complex	C	A protein complex involved in the catalysis of the formation of the modified nucleotide 1-methyladenosine (m1A) in tRNA. In yeast, it is a heterotetramer of two subunits, Gcd10p and Gcd14p, while in bacteria and archaea it is a homotetramer.
GO:0031518	CBF3 complex	C	A multisubunit protein complex that binds to centromeric DNA and initiates kinetochore assembly. In yeast, this complex consists of four subunits, namely Ctf13p, Skp1p, Cep3p and Cbf2p.
GO:0031533	mRNA cap methyltransferase complex	C	A protein complex that consists of an RNA 5' triphosphatase and a guanyl transferase (Cet1p and Ceg1p in S. cerevisiae; Pct1 and Ceg1 in S. pombe) and is involved in mRNA capping.
GO:0031588	AMP-activated protein kinase complex	C	A protein complex that possesses AMP-dependent protein kinase activity.
GO:0031931	TORC1 complex	C	A protein complex that contains at least TOR (target of rapamycin) and Raptor (regulatory-associated protein of TOR), or orthologs of, in complex with other signaling components. Mediates the phosphorylation and activation of S6K. In Saccharomyces, the complex contains Kog1p, Lst8p, Tco89p, and either Tor1p or Tor2p.
GO:0031932	TORC2 complex	C	A protein complex that contains at least TOR (target of rapamycin) and Rictor (rapamycin-insensitive companion of TOR), or orthologs of, in complex with other signaling components. Mediates the phosphorylation and activation of PKB (also called AKT). In Saccharomyces, the complex contains Avo1p, Avo2p, Tsc11p, Lst8p, Bit61p, Slm1p, Slm2p, and Tor2p.
GO:0031941	filamentous actin	C	A two-stranded helical polymer of the protein actin.
GO:0031942	i-AAA complex	C	Protease complex of the mitochondrial inner membrane whose catalytic residues lie on the intermembrane space side of the inner membrane; involved in mitochondrial protein turnover. Contains a subunit belonging to the AAA family of ATP-dependent metalloproteases.
GO:0032040	small-subunit processome	C	A large ribonucleoprotein complex that is an early preribosomal complex. In S. cerevisiae, it has a size of 80S and consists of the 35S pre-rRNA, early-associating ribosomal proteins most of which are part of the small ribosomal subunit, the U3 snoRNA and associated proteins.
GO:0032044	DSIF complex	C	A heterodimeric protein complex formed of Spt4 and Spt5 proteins which is expressed in eukaryotes from yeast to man. DSIF is an inhibitory elongation factor that promotes RNA polymerase II transcriptional pausing, but can also stimulate transcriptional elongation under certain conditions, and may play a role in RNA processing via its physical association with mRNA capping enzymes.
GO:0032045	guanyl-nucleotide exchange factor complex	C	A protein complex that stimulates the exchange of guanyl nucleotides associated with a GTPase.
GO:0032116	SMC loading complex	C	A protein complex required for the loading of a structural maintenance of chromosome (SMC) complex, such as cohesin, condensin or SMC5/SMC6, onto DNA. Appears to be eukaryotically conserved.
GO:0032126	eisosome	C	A cell part that is composed of the eisosome membrane or MCC domain, a furrow-like plasma membrane sub-domain and associated integral transmembrane proteins, and the proteins (eisosome filaments) that form a scaffolding lattice on the cytoplasmic face. Eisosomes broadly affect overall plasma membrane organization.
GO:0032133	chromosome passenger complex	C	A eukaryotically conserved protein complex that localizes to kinetochores in early mitosis, the spindle mid-zone in anaphase B and to the telophase midbody. It has been proposed that the passenger complex coordinates various events based on its location to different structures during the course of mitosis. Complex members include the BIR-domain-containing protein Survivin, Aurora kinase, INCENP and Borealin.
